Solve Method,Duration(ms)
A* solved g/2,20604
A* solved g/4,20408
A* solved,26866
A* solved g/4,13567
A* solved g(n)=0,13457
A* solved g/2,13552
Breadth solved,11177
Depth solved,39795
A* solved,44701
A* solved g/4,24115
Breadth solved,20138
A* solved g/2,23786
A* solved g(n)=0,23898
Depth solved,39109
Breadth solved,19019
A* solved g(n)=0,21320
A* solved g/4,21315
A* solved g/2,21643
Depth solved,9959
A* solved,25090
Breadth solved,31793
A* solved g/2,28201
A* solved,52067
A* solved g(n)=0,28080
A* solved g/4,28389
Depth solved,10968
Breadth solved,20354
Depth solved,14958
A* solved g(n)=0,17623
A* solved g/4,17920
A* solved,29247
A* solved g/2,17755
A* solved g(n)=0,20835
Breadth solved,23394
A* solved g/2,15775
A* solved,40271
A* solved g/4,15320
Depth solved,32613
A* solved g/2,28180
Breadth solved,25548
A* solved g(n)=0,22988
A* solved g/4,22742
A* solved,49393
Depth solved,8972
Breadth solved,21736
Depth solved,20196
A* solved g/4,34384
A* solved,31543
A* solved g(n)=0,34370
A* solved g/2,34496
A* solved g(n)=0,37411
A* solved,49079
A* solved g/2,32166
Breadth solved,25167
Depth solved,29811
A* solved g/4,32319
A* solved g(n)=0,40894
Depth solved,27191
A* solved,54262
Breadth solved,27560
A* solved g/2,35696
A* solved g/4,35829
A* solved,32510
A* solved g/2,23175
Breadth solved,13775
Depth solved,7705
A* solved g(n)=0,23429
A* solved g/4,23432
A* solved,43429
A* solved g/4,27085
A* solved g(n)=0,27247
Breadth solved,20308
A* solved g/2,27131
Depth solved,25256
Depth solved,13181
Breadth solved,22677
A* solved g(n)=0,12290
A* solved g/2,12181
A* solved g/4,12366
A* solved,41258
A* solved,47586
Breadth solved,22147
Depth solved,27323
A* solved g/4,31502
A* solved g/2,31787
A* solved g(n)=0,31705
A* solved g(n)=0,29585
Depth solved,16192
Breadth solved,16747
A* solved g/4,24455
A* solved,32345
A* solved g/2,24655
Breadth solved,27716
A* solved,44485
Depth solved,39587
A* solved g/2,34825
A* solved g(n)=0,34856
A* solved g/4,34949
A* solved g(n)=0,45657
A* solved g/4,40289
Depth solved,24212
Breadth solved,23431
A* solved,45749
A* solved g/2,40388
Depth solved,22048
A* solved g/4,25268
A* solved g/2,24985
A* solved g(n)=0,25048
A* solved,27455
Breadth solved,15096
Depth solved,22424
A* solved g/4,17986
Breadth solved,12934
A* solved g(n)=0,18260
A* solved,22705
A* solved g/2,18331
A* solved g(n)=0,17303
A* solved g/2,12242
A* solved,26825
A* solved g/4,12118
Depth solved,40059
Breadth solved,13824
A* solved g(n)=0,17611
A* solved,32941
A* solved g/4,11965
Breadth solved,17552
A* solved g/2,12296
Depth solved,16591
A* solved,48809
Depth solved,20740
A* solved g/4,25327
Breadth solved,23005
A* solved g/2,25286
A* solved g(n)=0,25305
Breadth solved,30789
A* solved g/2,17591
A* solved g/4,17405
Depth solved,38159
A* solved g(n)=0,17388
A* solved,48931
Breadth solved,31926
Depth solved,22885
A* solved g(n)=0,51161
A* solved,52552
A* solved g/4,51435
A* solved g/2,51729
A* solved g(n)=0,26132
A* solved g/2,21086
Breadth solved,25480
A* solved g/4,21057
Depth solved,21958
A* solved,45303
A* solved g/4,50503
A* solved,45961
A* solved g(n)=0,45345
Depth solved,20392
A* solved g/2,45367
Breadth solved,23459
A* solved,46455
Depth solved,38978
Breadth solved,22326
A* solved g/2,15498
A* solved g/4,16301
A* solved g(n)=0,15444
A* solved g/4,23543
A* solved,37869
Breadth solved,19829
A* solved g/2,18389
Depth solved,28736
A* solved g(n)=0,18277
Breadth solved,19362
A* solved g/2,26453
A* solved g/4,26480
Depth solved,41456
A* solved,27549
A* solved g(n)=0,26539
A* solved g(n)=0,40209
Depth solved,27780
A* solved g/2,35064
A* solved,38337
A* solved g/4,34928
Breadth solved,20687
Depth solved,22957
Breadth solved,15035
A* solved g/4,10842
A* solved,25940
A* solved g(n)=0,10682
A* solved g/2,10893
A* solved g/2,16346
Breadth solved,18518
A* solved g/4,11309
Depth solved,32534
A* solved g(n)=0,10886
A* solved,33602
A* solved g/4,39434
Depth solved,25072
Breadth solved,21793
A* solved g(n)=0,33684
A* solved g/2,34098
A* solved,42271
A* solved g(n)=0,24681
A* solved,29469
A* solved g/2,19546
Breadth solved,18360
A* solved g/4,19364
Depth solved,5352
A* solved,48486
Depth solved,14943
Breadth solved,22618
A* solved g/2,20089
A* solved g(n)=0,20419
A* solved g/4,20252
Depth solved,27737
Breadth solved,43224588
A* solved g/4,35368
A* solved g/2,35737
A* solved g(n)=0,40587
A* solved,54238
A* solved g(n)=0,34870
Breadth solved,25353
Depth solved,38338
A* solved g/4,24293
A* solved g/2,24343
A* solved,43388
Breadth solved,36128
A* solved g/2,36688
A* solved g/4,36681
A* solved,45958
A* solved g(n)=0,36711
Depth solved,13857
A* solved g(n)=0,44930
Depth solved,23064
A* solved g/4,35333
Breadth solved,23472
A* solved g/2,35306
A* solved,44401
A* solved,47953
A* solved g/4,27413
A* solved g(n)=0,27442
A* solved g/2,27452
Depth solved,28583
Breadth solved,19780
Breadth solved,35931
A* solved g(n)=0,48391
A* solved g/2,48343
A* solved,51804
Depth solved,21857
A* solved g/4,48453
Breadth solved,35081
A* solved g/4,17423
Depth solved,24418
A* solved g(n)=0,17416
A* solved,48487
A* solved g/2,17417
A* solved g(n)=0,49004
A* solved g/4,39321
Breadth solved,24695
A* solved g/2,39329
Depth solved,28550
A* solved,47278
A* solved g/4,53910
Depth solved,10894
Breadth solved,9751
A* solved g(n)=0,44187
A* solved g/2,44223
A* solved,14886
A* solved g/4,37775
A* solved g/2,28013
A* solved,35053
Breadth solved,19149
Depth solved,21182
A* solved g(n)=0,28018
A* solved,50664
Depth solved,19083
A* solved g/4,23844
Breadth solved,22050
A* solved g(n)=0,23848
A* solved g/2,23836
Breadth solved,22662
A* solved g/2,13634
A* solved g/4,13625
Depth solved,16915
A* solved g(n)=0,13622
A* solved,25128
A* solved,38371
Depth solved,7493
Breadth solved,14594
A* solved g/4,15816
A* solved g/2,15815
A* solved g(n)=0,15818
A* solved g(n)=0,27205
Breadth solved,17706
A* solved,33272
A* solved g/4,17436
A* solved g/2,17431
Depth solved,18116
A* solved,50186
Breadth solved,21194
Depth solved,30426
A* solved g/2,19676
A* solved g(n)=0,19682
A* solved g/4,19685
A* solved g(n)=0,44725
Breadth solved,18545
A* solved g/2,48198
A* solved g/4,48126
A* solved,34578
Depth solved,26582
A* solved g(n)=0,24381
Breadth solved,21324
A* solved g/4,14789
A* solved,41506
Depth solved,47109
A* solved g/2,14777
A* solved g/2,36605
A* solved g/4,25935
Depth solved,14617
A* solved g(n)=0,25967
Breadth solved,20701
A* solved,38502
A* solved g(n)=0,61879
Depth solved,41778
Breadth solved,20440
A* solved g/4,52113
A* solved,38709
A* solved g/2,52115
A* solved,45593
Depth solved,38097
A* solved g/2,30388
A* solved g(n)=0,30379
A* solved g/4,30457
Breadth solved,19009
A* solved g(n)=0,31574
Depth solved,22927
A* solved,53675
A* solved g/4,21934
Breadth solved,27846
A* solved g/2,21960
Breadth solved,34844
A* solved g(n)=0,49472
A* solved g/2,49499
Depth solved,38952
A* solved,49674
A* solved g/4,49438
A* solved,63855
Breadth solved,27691
A* solved g(n)=0,49087
A* solved g/2,48964
A* solved g/4,48925
Depth solved,34291
A* solved,59015
A* solved g(n)=0,48490
A* solved g/2,48453
Breadth solved,25026
Depth solved,37663
A* solved g/4,48456
A* solved g/4,20010
A* solved g/2,10354
Depth solved,7746
A* solved g(n)=0,10376
A* solved,18215
Breadth solved,10178
A* solved g/4,54690
Breadth solved,25246
A* solved g/2,45068
A* solved,49587
A* solved g(n)=0,44747
Depth solved,25883
Depth solved,27073
A* solved g/2,42362
A* solved g(n)=0,42339
Breadth solved,24492
A* solved g/4,42393
A* solved,46117
Breadth solved,30762
A* solved g/4,33003
A* solved g/2,40415
Depth solved,6368
A* solved g(n)=0,19891
A* solved,34035
A* solved,53774
A* solved g(n)=0,30934
A* solved g/2,30925
A* solved g/4,30914
Depth solved,28967
Breadth solved,23751
A* solved,50761
A* solved g/4,17401
A* solved g/2,17393
Depth solved,12968
Breadth solved,21677
A* solved g(n)=0,17392
A* solved g(n)=0,49577
A* solved g/2,39891
Breadth solved,21760
Depth solved,37325
A* solved g/4,39867
A* solved,41492
Breadth solved,35337
A* solved,48626
Depth solved,23787
A* solved g(n)=0,37044
A* solved g/4,36969
A* solved g/2,36989
A* solved g/4,43537
A* solved,49416
A* solved g/2,33837
Depth solved,21993
Breadth solved,26164
A* solved g(n)=0,33881
A* solved g/4,44932
Depth solved,27913
A* solved g/2,35046
A* solved g(n)=0,34745
Breadth solved,27144
A* solved,51040
A* solved g(n)=0,62025
A* solved g/4,52375
A* solved,48198
A* solved g/2,52370
Breadth solved,25925
Depth solved,14948
A* solved,46154
A* solved g/4,32998
Breadth solved,19103
Depth solved,22876
A* solved g(n)=0,32968
A* solved g/2,32945
Depth solved,30703
Breadth solved,19686
A* solved g(n)=0,21514
A* solved g/4,21547
A* solved g/2,21526
A* solved,35971
A* solved g/4,37420
Depth solved,44372
A* solved,25941
Breadth solved,14315
A* solved g/2,27788
A* solved g(n)=0,27816
Depth solved,19168
A* solved g(n)=0,45537
A* solved,29141
A* solved g/4,45540
Breadth solved,16686
A* solved g/2,45520
A* solved g(n)=0,48411
A* solved g/2,38656
A* solved g/4,38623
Breadth solved,26728
A* solved,50987
Depth solved,24064
Breadth solved,27579
A* solved,34798
A* solved g/2,18161
A* solved g(n)=0,11231
Depth solved,22784
A* solved g/4,11237
Depth solved,54510
A* solved g/2,20028
A* solved g/4,19770
A* solved,39618
A* solved g(n)=0,20042
Breadth solved,22302
A* solved g/4,19064
Depth solved,29482
A* solved,22984
A* solved g(n)=0,9418
Breadth solved,13757
A* solved g/2,9422
A* solved g/2,43106
A* solved,38875
A* solved g(n)=0,33356
Breadth solved,20390
A* solved g/4,33388
Depth solved,24954
A* solved g/2,32376
A* solved,34785
A* solved g(n)=0,22703
Breadth solved,19519
A* solved g/4,22733
Depth solved,23816
Depth solved,35732
A* solved g(n)=0,14804
A* solved g/2,14800
A* solved,28805
A* solved g/4,14818
Breadth solved,14893
A* solved g/4,30737
A* solved g/2,21049
Breadth solved,19280
A* solved g(n)=0,21060
A* solved,35155
Depth solved,36445
A* solved,44650
A* solved g(n)=0,21002
A* solved g/2,16697
Depth solved,9584
Breadth solved,17700
A* solved g/4,16730
Breadth solved,23245
A* solved g/4,21350
A* solved g(n)=0,21348
A* solved g/2,21369
A* solved,26520
Depth solved,40710
Depth solved,41440
A* solved g/2,38481
A* solved g/4,38502
Breadth solved,24692
A* solved g(n)=0,38476
A* solved,45593
