Solve Method,Duration(ms)
Depth solved,8853
A* solved g/4,52173
A* solved g/2,52326
Depth solved,48046
A* solved g/4,33606
Breadth solved,25250
A* solved,47808
A* solved g/2,33617
A* solved g(n)=0,33653
A* solved g/2,29080
A* solved,35114
A* solved g/4,23845
A* solved g(n)=0,23883
Depth solved,20789
Breadth solved,18858
Depth solved,53751
A* solved g(n)=0,25979
A* solved,30583
Breadth solved,16763
A* solved g/4,25956
A* solved g/2,25849
A* solved g(n)=0,56217
A* solved,23892
A* solved g/4,51050
A* solved g/2,51113
Breadth solved,14572
Depth solved,9720
A* solved g/4,49904
Depth solved,23799
A* solved g/2,44847
A* solved g(n)=0,44742
A* solved,52400
Breadth solved,27179
Breadth solved,33000
Depth solved,31721
A* solved g(n)=0,40161
A* solved,51801
A* solved g/4,40121
A* solved g/2,40134
A* solved,49596
A* solved g(n)=0,17033
A* solved g/2,17272
Breadth solved,23724
Depth solved,18148
A* solved g/4,17254
Breadth solved,31168
A* solved g(n)=0,49437
A* solved g/2,49419
Depth solved,45090
A* solved,50713
A* solved g/4,49324
A* solved g/4,44817
A* solved,45547
A* solved g(n)=0,39646
Breadth solved,23218
Depth solved,8515
A* solved g/2,39640
Depth solved,31255
Breadth solved,26587
A* solved g/2,44683
A* solved,52210
A* solved g(n)=0,44361
A* solved g/4,44657
A* solved,26524
A* solved g(n)=0,23681
A* solved g/2,23622
Breadth solved,11855
Depth solved,39312
A* solved g/4,23628
Depth solved,16739
A* solved g(n)=0,36537
A* solved g/2,36507
Breadth solved,22027
A* solved,43718
A* solved g/4,36548
A* solved,58615
A* solved g/2,34055
Breadth solved,28087
Depth solved,41515
A* solved g(n)=0,33955
A* solved g/4,34011
A* solved g(n)=0,21200
Breadth solved,25375
Depth solved,45661
A* solved,49176
A* solved g/2,15586
A* solved g/4,15703
A* solved g/2,40580
Depth solved,33713
A* solved g/4,35355
A* solved,33657
A* solved g(n)=0,35477
Breadth solved,20021
A* solved g/4,19989
A* solved,39818
Breadth solved,20430
Depth solved,9665
A* solved g(n)=0,14818
A* solved g/2,14832
A* solved g/4,24901
Depth solved,19017
A* solved g/2,19743
A* solved,42553
Breadth solved,23085
A* solved g(n)=0,19703
A* solved,43811
A* solved g(n)=0,23335
Depth solved,27763
A* solved g/4,23558
A* solved g/2,23627
Breadth solved,21665
Breadth solved,32055
Depth solved,35195
A* solved g/4,52333
A* solved g/2,52352
A* solved,52884
A* solved g(n)=0,52350
A* solved g/4,15534
Breadth solved,10695
A* solved g/2,10347
A* solved,20406
Depth solved,13696
A* solved g(n)=0,10351
A* solved g/4,41447
Depth solved,25148
Breadth solved,21913
A* solved g(n)=0,36225
A* solved g/2,36194
A* solved,42288
A* solved,39107
A* solved g/4,20657
Depth solved,14116
Breadth solved,18807
A* solved g/2,20556
A* solved g(n)=0,20624
A* solved,46258
A* solved g/2,40709
A* solved g(n)=0,40747
Depth solved,11962
A* solved g/4,40761
Breadth solved,20834
Breadth solved,24510
A* solved g/2,16708
A* solved,36199
Depth solved,38335
A* solved g(n)=0,16725
A* solved g/4,16697
A* solved,57670
A* solved g/4,26290
A* solved g/2,26208
Depth solved,15498
A* solved g(n)=0,26319
Breadth solved,26782
A* solved g(n)=0,50865
A* solved g/4,45749
Breadth solved,27955
Depth solved,37241
A* solved,54880
A* solved g/2,45758
A* solved g/2,23633
Depth solved,13066
A* solved g(n)=0,18476
Breadth solved,23023
A* solved g/4,18447
A* solved,42618
A* solved,39407
A* solved g/2,20025
Breadth solved,18699
A* solved g/4,20021
Depth solved,42442
A* solved g(n)=0,20011
A* solved g(n)=0,19775
A* solved g/2,14552
Breadth solved,19931
Depth solved,30644
A* solved g/4,14549
A* solved,34467
A* solved g/2,34971
A* solved g(n)=0,29759
A* solved g/4,29789
A* solved,48783
Breadth solved,24952
Depth solved,45020
Breadth solved,29024
A* solved g/4,48085
A* solved g/2,48140
A* solved,44641
A* solved g(n)=0,48045
Depth solved,42555
A* solved g(n)=0,27397
A* solved g/2,22203
Breadth solved,28225
Depth solved,23568
A* solved,55652
A* solved g/4,22184
A* solved g(n)=0,39682
A* solved g/2,34554
Breadth solved,24783
A* solved,46296
A* solved g/4,34480
Depth solved,38315
Breadth solved,30250
A* solved,48834
Depth solved,21881
A* solved g(n)=0,23470
A* solved g/4,23482
A* solved g/2,23347
Breadth solved,27571
A* solved g(n)=0,41821
A* solved g/4,41737
A* solved g/2,41807
Depth solved,34868
A* solved,44042
Breadth solved,33146
Depth solved,21943
A* solved,54074
A* solved g/4,28189
A* solved g/2,28229
A* solved g(n)=0,28204
A* solved g/4,29743
A* solved g(n)=0,24576
A* solved g/2,24523
Depth solved,28849
Breadth solved,24331
A* solved,44107
A* solved g/2,22369
A* solved,50341
A* solved g/4,17183
Depth solved,20772
Breadth solved,25841
A* solved g(n)=0,17187
A* solved,50344
Depth solved,25963
A* solved g/2,33684
Breadth solved,23929
A* solved g/4,33725
A* solved g(n)=0,33615
A* solved g/2,25098
Depth solved,35424
Breadth solved,16988
A* solved g/4,19957
A* solved,32553
A* solved g(n)=0,19929
Breadth solved,18528
A* solved g(n)=0,11476
A* solved g/2,11470
A* solved,21498
A* solved g/4,11489
Depth solved,48502
Depth solved,15213
Breadth solved,23519
A* solved g/4,44535
A* solved g(n)=0,44568
A* solved,46062
A* solved g/2,44642
Depth solved,27226
Breadth solved,21585
A* solved g/4,32875
A* solved g(n)=0,32860
A* solved g/2,27053
A* solved,42213
Breadth solved,23807
A* solved g/2,25041
A* solved g/4,25042
A* solved g(n)=0,25036
A* solved,33216
Depth solved,28993
A* solved g(n)=0,31151
A* solved,31499
Depth solved,11721
A* solved g/2,26010
